更新时间: 2026-02-16 18:35:50（北京时间）

更新时间,#genre#
2026-02-16 18:35:50,https://kakaxi-1.asia/LOGO/Disclaimer.mp4

央视频道,#genre#
深圳卫视,http://106.118.75.108:4022/rtp/239.254.200.50:8020$河北省电信
深圳卫视,http://117.82.88.137:5555/rtp/239.49.8.15:9430$江苏电信
深圳卫视,http://59.175.8.151:4022/rtp/239.254.96.137:8896$湖北电信
深圳卫视,http://106.59.2.102:55555/rtp/239.200.200.67:8776$云南电信
北京卫视,http://106.118.75.108:4022/rtp/239.254.200.47:8024$河北省电信
北京卫视,http://117.82.88.137:5555/rtp/239.49.8.11:9414$江苏电信
北京卫视,http://59.175.8.151:4022/rtp/239.254.96.141:8920$湖北电信
北京卫视,http://106.59.2.102:55555/rtp/239.200.200.5:8024$云南电信
广东卫视,http://106.118.75.108:4022/rtp/239.254.200.56:8048$河北省电信
广东卫视,http://117.82.88.137:5555/rtp/239.49.8.13:9422$江苏电信
广东卫视,http://59.175.8.151:4022/rtp/239.254.96.140:8914$湖北电信
广东卫视,http://106.59.2.102:55555/rtp/239.200.200.52:8276$云南电信
广西卫视,http://106.118.75.108:4022/rtp/239.254.200.80:8300$河北省电信
广西卫视,http://117.82.88.137:5555/rtp/239.49.8.10:8000$江苏电信
广西卫视,http://59.175.8.151:4022/rtp/239.69.1.191:10788$湖北电信
广西卫视,http://106.59.2.102:55555/rtp/239.200.200.53:8280$云南电信
东南卫视,http://106.118.75.108:4022/rtp/239.254.201.13:6291$河北省电信
东南卫视,http://117.82.88.137:5555/rtp/239.49.8.112:8000$江苏电信
东南卫视,http://59.175.8.151:4022/rtp/239.69.1.108:10286$湖北电信
东南卫视,http://106.59.2.102:55555/rtp/239.200.200.50:8268$云南电信
海南卫视,http://106.118.75.108:4022/rtp/239.254.201.125:6288$河北省电信
海南卫视,http://117.82.88.137:5555/rtp/239.49.8.83:8000$江苏电信
海南卫视,http://59.175.8.151:4022/rtp/239.69.1.151:10542$湖北电信
